Date,MSFT,NVDA,GOOGL,AMZN,META,TSM,ASML,ADBE,IBM,ANET
2018-04-23,88.75770568847656,5.539944171905518,53.4965705871582,75.89299774169922,165.2089080810547,32.40605545043945,178.40707397460938,225.3000030517578,101.87983703613281,15.886249542236328
2018-04-24,86.68187713623047,5.473626613616943,50.94731521606445,73.00450134277344,159.08230590820312,32.40605545043945,180.95281982421875,217.88999938964844,101.67028045654297,15.75374984741211
2018-04-25,85.92788696289062,5.361283779144287,50.964752197265625,73.00849914550781,159.08230590820312,31.9210147857666,178.72412109375,217.32000732421875,101.93569946289062,15.813750267028809
2018-04-26,87.74305725097656,5.573101997375488,51.97707748413086,75.89800262451172,173.49725341796875,31.9210147857666,182.47279357910156,221.91000366210938,102.48051452636719,16.219375610351562
2018-04-27,89.19519805908203,5.600568771362305,51.38622283935547,78.63099670410156,172.92941284179688,31.9210147857666,180.3917999267578,221.89999389648438,102.3128662109375,16.421875
2018-04-30,87.05422973632812,5.565182685852051,50.74504470825195,78.30650329589844,171.34547424316406,32.155174255371094,177.28726196289062,221.60000610351562,101.25118255615234,16.534374237060547
2018-05-01,88.431884765625,5.620613098144531,51.84953689575195,79.11299896240234,173.19839477539062,32.556583404541016,180.10015869140625,224.0800018310547,101.27911376953125,16.579374313354492
2018-05-02,87.044921875,5.6000752449035645,51.11719512939453,78.48400115966797,175.39999389648438,31.569772720336914,179.0653076171875,221.10000610351562,99.49803161621094,16.591249465942383
2018-05-03,87.5661849975586,5.765370845794678,51.1296501159668,78.60399627685547,173.3577880859375,31.862468719482422,181.33258056640625,226.0500030517578,99.17668151855469,16.740625381469727
2018-05-04,88.58082580566406,5.915574073791504,52.360191345214844,79.04750061035156,175.93792724609375,32.27225112915039,183.92906188964844,228.50999450683594,100.51777648925781,15.315625190734863
2018-05-07,89.56755065917969,6.153622150421143,52.78166198730469,80.00700378417969,177.2927703857422,32.155174255371094,183.33642578125,230.99000549316406,100.03583526611328,15.772500038146973
2018-05-08,89.18590545654297,6.196185111999512,52.738319396972656,79.61949920654297,178.2391357421875,32.76565933227539,182.38623046875,234.55999755859375,99.88219451904297,16.205625534057617
2018-05-09,90.2377700805664,6.329312801361084,54.25083541870117,80.4000015258789,181.96490478515625,32.907833099365234,186.22454833984375,239.74000549316406,100.71550750732422,16.2137508392334
2018-05-10,91.14070892333984,6.436955451965332,55.0738525390625,80.4540023803711,184.82398986816406,33.259063720703125,189.1597442626953,241.14999389648438,101.8666763305664,16.291250228881836
2018-05-11,90.94520568847656,6.298380374908447,54.969730377197266,80.14550018310547,186.27842712402344,33.37615966796875,187.02420043945312,241.8800048828125,101.79606628417969,16.244375228881836
2018-05-14,91.25240325927734,6.318920612335205,55.130149841308594,80.0770034790039,185.9297637939453,33.40959930419922,189.9781951904297,238.3699951171875,101.90904235839844,15.845000267028809
2018-05-15,90.59149932861328,6.076418399810791,54.04757308959961,78.80599975585938,183.61859130859375,32.86600875854492,188.08726501464844,236.60000610351562,101.51356506347656,15.596875190734863
2018-05-16,90.8252182006836,6.087553024291992,54.00871276855469,79.36399841308594,182.50283813476562,33.275794982910156,190.86251831054688,237.38999938964844,102.14209747314453,15.570625305175781
2018-05-17,89.91838073730469,6.129619598388672,53.86772537231445,79.08799743652344,183.0607147216797,32.58167266845703,190.39215087890625,236.85000610351562,102.05029296875,15.466875076293945
2018-05-18,90.0866470336914,6.08582067489624,53.288822174072266,78.71849822998047,181.98483276367188,32.13007736206055,185.6507110595703,238.08999633789062,101.7536849975586,15.505624771118164
2018-05-21,91.24591064453125,6.0437541007995605,54.004730224609375,79.27300262451172,183.78794860839844,33.008182525634766,190.5144500732422,238.10000610351562,102.7494888305664,15.890625
2018-05-22,91.15245819091797,6.005648612976074,53.5713005065918,79.06999969482422,183.10057067871094,33.15034866333008,190.5426483154297,238.7899932861328,102.46697235107422,15.601249694824219
2018-05-23,92.23690795898438,6.129201889038086,54.10187911987305,80.09300231933594,186.1887664794922,33.15871047973633,188.34124755859375,243.91000366210938,102.17036437988281,15.998749732971191
2018-05-24,91.9096908569336,6.13291597366333,54.07646560668945,80.15350341796875,185.2224578857422,32.84092712402344,188.93394470214844,245.14999389648438,101.74662780761719,15.788125038146973
2018-05-25,91.95645904541016,6.172284126281738,54.008216857910156,80.50749969482422,184.21630859375,32.86600875854492,189.18798828125,243.55999755859375,101.44293975830078,15.984375
2018-05-29,91.62924194335938,6.1551995277404785,53.21060562133789,80.64350128173828,185.03318786621094,31.912649154663086,184.01373291015625,242.19000244140625,99.73389434814453,15.991250038146973
2018-05-30,92.50801849365234,6.264145374298096,53.67890930175781,81.24449920654297,186.95582580566406,32.06319046020508,185.4249267578125,247.39999389648438,100.72261047363281,15.728124618530273
2018-05-31,92.40518188476562,6.2443366050720215,54.80134201049805,81.48100280761719,191.0502166748047,32.36423873901367,185.00152587890625,249.27999877929688,99.79743957519531,15.72249984741211
2018-06-01,94.22825622558594,6.378785133361816,56.545021057128906,82.0770034790039,193.2517852783203,32.782379150390625,190.1851806640625,251.30999755859375,100.2494125366211,16.326250076293945
2018-06-04,95.05094909667969,6.557804584503174,57.443763732910156,83.26349639892578,192.54449462890625,33.426326751708984,191.84092712402344,253.33999633789062,101.01920318603516,16.767499923706055
2018-06-05,95.53710174560547,6.563252925872803,57.34312438964844,84.81749725341797,192.20578002929688,33.06672286987305,196.9210662841797,252.6999969482422,101.48532104492188,17.171875
2018-06-06,95.81757354736328,6.565234184265137,57.14036178588867,84.7874984741211,190.6118621826172,33.08344650268555,200.95693969726562,253.9499969482422,102.19862365722656,17.391250610351562
2018-06-07,94.31238555908203,6.509522914886475,56.51612091064453,84.46499633789062,187.46389770507812,33.04999542236328,195.2653045654297,247.50999450683594,102.65766143798828,16.931249618530273
2018-06-08,95.01355743408203,6.494171619415283,56.43093490600586,84.19950103759766,188.38040161132812,32.556583404541016,195.16184997558594,251.2100067138672,103.20853424072266,17.109375
2018-06-11,94.47132873535156,6.453067302703857,56.838951110839844,84.45600128173828,190.81109619140625,32.414405822753906,197.42904663085938,251.0,103.51924896240234,16.979999542236328
2018-06-12,94.7143783569336,6.5015997886657715,57.2021369934082,84.9375,191.66783142089844,32.782379150390625,196.9398956298828,252.58999633789062,103.72406768798828,17.165000915527344
